Motif,Property,Present_Count,Present_Mean,Present_Var,Present_Std,Absent_Count,Absent_Mean,Absent_Var,Absent_Std
fr_ether,gap,7910,0.25977575221238935,0.001911867938965019,0.04372491210928867,5469,0.22337855183763025,0.0023810932469148782,0.04879644707265969
fr_ether,mu,7910,2.4486619469026545,1.54269743875408,1.2420537181434947,5469,2.780114152495886,3.3625476181829907,1.8337250661380486
MorganFP_314,gap,4367,0.2179079459583238,0.00126690741966909,0.03559364296709582,9012,0.25797597647581005,0.002460369735757076,0.049602114226684695
MorganFP_314,mu,4367,3.5220771696817037,1.7908865906215798,1.3382401094802008,9012,2.12965482689747,1.9332553692331629,1.390415538331316
fr_ketone_Topliss,gap,1826,0.20457398685651698,0.0003989728078770874,0.019974303689417747,11553,0.2512707868086212,0.002446140667464327,0.04945847417242395
fr_ketone_Topliss,mu,1826,3.0682214129244247,1.5331149683247973,1.2381901987678618,11553,2.507641997749502,2.393472208132158,1.5470850681627557
MorganFP_807,gap,1027,0.2416058422590068,0.002085334332306478,0.045665461043402134,12352,0.24517117066062175,0.0024510286943463886,0.04950786497463194
MorganFP_807,mu,1027,2.4991513145082767,3.6527165901420324,1.9112081493500472,12352,2.5912185799870464,2.2012067375439957,1.4836464327945509
fr_ketone,gap,2098,0.20062135367016204,0.0004886865061304609,0.02210625490965082,11281,0.2531318056909848,0.00235121628618068,0.04848934198543717
fr_ketone,mu,2098,3.1559745948522404,1.62406892578727,1.2743896287192822,11281,2.4778056555269927,2.369110534374041,1.539191519718726
NumAmideBonds,gap,1317,0.2364394077448747,0.0010728432558799704,0.032754286068848615,12062,0.24582099154369097,0.002562631221701446,0.05062243792728128
NumAmideBonds,mu,1317,3.7397788154897493,1.3201555569140975,1.1489802247706866,12062,2.4579731056209586,2.2597334450622224,1.503240980369489
fr_bicyclic,gap,7846,0.2459862987509559,0.0023462754387655487,0.048438367424651595,5533,0.24335351527200436,0.0025298696536746133,0.05029780963098307
fr_bicyclic,mu,7846,2.626403900076472,2.2507855461517723,1.5002618258663294,5533,2.5242355503343576,2.395434890389958,1.5477192543836746
fr_amide,gap,1317,0.2364394077448747,0.0010728432558799704,0.032754286068848615,12062,0.24582099154369097,0.002562631221701446,0.05062243792728128
fr_amide,mu,1317,3.7397788154897493,1.3201555569140975,1.1489802247706866,12062,2.4579731056209586,2.2597334450622224,1.503240980369489
fr_epoxide,gap,1502,0.2692760985352863,0.0022264631525232624,0.04718541249711888,11877,0.24181449861076032,0.002364161965589359,0.04862264868957016
fr_epoxide,mu,1502,2.4069473368841545,1.1767203657190854,1.0847674247132817,11877,2.6065610339311274,2.452293880569763,1.5659801660844122
fr_Imine,gap,1138,0.22967899824253077,0.0009646105963570769,0.0310581808281985,12241,0.24631229474716118,0.002535901367617692,0.05035773394045538
fr_Imine,mu,1138,2.497916783831283,1.3651911974049507,1.16841396662525,12241,2.5921682052119923,2.400437655562538,1.54933458476939
NumBridgeheadAtoms,gap,3786,0.26312762810353935,0.00230591705418768,0.04801996516229141,9593,0.23770273115813612,0.0022874850133907066,0.04782765950149251
NumBridgeheadAtoms,mu,3786,2.128265240359218,1.4917314682498366,1.2213645926789578,9593,2.764072563327426,2.5228556472433974,1.5883499763098174
NumRotatableBonds,gap,1949,0.26012606464853777,0.002257530470182677,0.047513476721691046,11430,0.24230076990376204,0.002405943492276214,0.04905041786036296
NumRotatableBonds,mu,1949,2.745515033350436,3.4338725016270653,1.8530710999924058,11430,2.556636176727909,2.1169168789422455,1.4549628445229263
MorganFP_650,gap,4587,0.217890124264225,0.001277203415313818,0.03573798280980361,8792,0.2589878867151956,0.0024429190262694996,0.049425894289021215
MorganFP_650,mu,4587,3.5905780248528445,2.1674430419940918,1.4722238423534961,8792,2.0590740332120108,1.5848911704017496,1.2589246087044885
NumHAcceptors,gap,12778,0.24360327124745657,0.002338397168604669,0.04835697642124318,601,0.27241414309484197,0.0034501673496394893,0.058738125179813916
NumHAcceptors,mu,12778,2.6877327594302707,2.171738630065501,1.4736819976051485,601,0.3818820299500832,0.23763923277653912,0.48748254612502706
fr_aldehyde,gap,47,0.16893617021276594,0.00025430322849213694,0.015946887736863796,13332,0.24516527902790278,0.002410952768559149,0.04910145383345741
fr_aldehyde,mu,47,6.093385106382981,9.448384265642924,3.0738224193409294,13332,2.5717800180018,2.2449456603253166,1.4983142728831347
