Feature,Importance
NumAromaticCarbocycles,0.17891923
RingCount,0.1066534
NumAromaticHeterocycles,0.08229523
NumRotatableBonds,0.06701851
NumHeterocycles,0.05825011
HeavyAtomCount,0.057173766
NumAromaticRings,0.050051905
BertzCT,0.045418426
BalabanJ,0.045329005
Chi1,0.03714233
NumHeteroatoms,0.03613057
Ipc,0.03245611
Kappa3,0.026820157
Kappa2,0.025541835
NumAliphaticRings,0.021091843
FractionCSP3,0.020420628
NOCount,0.017367832
Kappa1,0.016371561
Chi0,0.016080938
NumAliphaticHeterocycles,0.012275978
HallKierAlpha,0.007895557
NHOHCount,0.0051949215
TPSA,0.0040530893
Chi0v,0.0035371673
Chi3n,0.003073947
NumBridgeheadAtoms,0.0028955883
Chi0n,0.0027500284
Chi1v,0.0026254707
Chi2n,0.0025973292
NumAliphaticCarbocycles,0.0025800723
Chi2v,0.002457892
Chi1n,0.00231133
Chi4v,0.0019170104
Chi4n,0.0017576276
Chi3v,0.00081540406
NumSaturatedRings,0.00066080096
NumSpiroAtoms,6.732042e-05
